marketplacename,stock,tahunterbit,hargabuku,berat,lembartotal,status,urgent,tipetransaksi,servicefee,jumlah_order,jumlahcetak,kategoriutama,kategorisekunder,kategoritersier,statussku,tahun_transaksi,bulan_transaksi,hari_transaksi,dayofyear
3,0,2022.0,177000,0.0,83.0,3,0,0,0,1,1,10,24,5,0,2023,2,7,38
3,0,2022.0,118000,0.0,59.0,3,0,0,0,1,0,5,22,36,0,2023,2,7,38
3,0,2019.0,89000,0.0,45.0,1,0,0,7392,1,1,10,79,42,1,2023,2,7,38
3,1,2018.0,127500,0.0,108.0,1,0,0,11542,1,1,4,37,53,0,2023,2,7,38
3,0,2017.0,102000,0.0,64.0,1,0,0,8960,1,1,3,14,2,0,2023,2,7,38
3,1,2019.0,79000,0.0,38.0,1,0,0,6384,1,2,4,37,53,0,2023,2,7,38
3,6,2014.0,70000,0.0,18.0,1,0,0,5376,1,2,10,70,53,0,2023,2,7,38
3,0,2018.0,83000,0.0,61.0,1,0,0,14717,1,1,3,60,45,0,2023,2,7,38
3,0,2019.0,89000,0.0,49.0,1,0,0,14717,1,1,3,51,52,0,2023,2,7,38
2,1,2016.0,71000,0.0,22.0,3,0,0,0,1,0,8,46,53,0,2023,2,7,38
3,0,2021.0,54000,0.0,23.0,3,0,0,0,1,2,1,68,53,0,2023,2,7,38
3,6,2014.0,70000,0.0,18.0,1,0,0,5376,1,2,10,70,53,0,2023,2,7,38
3,0,2012.0,109000,0.0,79.0,3,0,0,0,1,1,7,9,61,0,2023,2,7,38
3,0,2019.0,131000,0.0,59.0,3,0,0,0,1,1,1,58,53,0,2023,2,7,38
3,0,2021.0,149000,185.0,59.0,3,0,0,0,1,1,10,24,53,0,2023,2,7,38
3,0,2017.0,98000,0.0,58.0,3,0,0,0,1,1,6,19,70,0,2023,2,7,38
4,0,2021.0,110000,0.0,59.0,3,0,0,0,1,1,3,13,53,1,2023,2,7,38
3,0,2021.0,74000,0.0,37.0,3,0,0,0,1,1,4,37,53,0,2023,2,7,38
3,0,2017.0,139000,0.0,138.0,3,0,0,0,1,1,8,46,72,1,2023,2,7,38
6,0,2019.0,13000,0.0,62.0,1,0,1,0,1,1,10,24,60,1,2023,2,7,38
6,0,2022.0,149000,386.0,104.0,1,0,1,0,1,1,10,24,53,0,2023,2,7,38
6,0,2022.0,155000,333.0,90.0,1,0,1,0,1,1,10,24,53,1,2023,2,7,38
6,0,2022.0,184000,406.0,110.0,1,0,1,0,1,1,10,24,53,1,2023,2,7,38
6,0,2022.0,184000,435.0,117.0,1,0,1,0,1,1,10,24,60,0,2023,2,7,38
6,0,2022.0,256000,733.0,196.0,1,0,1,0,1,1,10,24,11,0,2023,2,7,38
6,0,2022.0,301000,691.0,162.0,1,0,1,0,1,0,10,24,53,1,2023,2,7,38
6,0,2022.0,133000,289.0,79.0,1,0,1,0,1,1,10,24,66,0,2023,2,7,38
6,0,2022.0,91000,142.0,40.0,1,0,1,0,1,1,10,10,53,1,2023,2,7,38
6,0,2021.0,178000,0.0,82.0,1,0,1,0,1,1,10,79,45,1,2023,2,7,38
3,0,2021.0,74000,0.0,37.0,1,0,0,0,1,1,4,37,53,0,2023,2,7,38
3,0,2019.0,91000,0.0,53.0,3,0,0,0,1,1,10,24,43,0,2023,2,7,38
3,0,2012.0,91500,0.0,56.0,3,0,0,0,1,2,8,64,53,0,2023,2,7,38
3,0,2019.0,53000,0.0,28.0,3,0,0,0,1,0,4,61,32,0,2023,2,7,38
6,0,2022.0,120000,0.0,66.0,1,0,1,0,1,1,4,61,15,0,2023,2,7,38
